s.no,address,bank,atm_id,coord_x,coord_y,freguesia,parish,mway_dist,police_dis,income,density,age,unp_rate,com_dens,event_date,freq_attack,success_attack,n_income,n_density,n_age,n_unp_rate,n_com_dens,n_freq_attack
15,Av. Gen. Roçadas 48,Multibanco CGD,MCGD1,-9.1280138,38.7282704,Penha de França,17,2939.66162472,450,70,19.344618920035792,45,3,26,,0,0,,,,,,
16,Av. Dom João II 24,Multibanco | EuroBic | ABANCA Parque das Nações,EB5,-9.1003899,38.7640481,Parque das Nações,16,4388.97083492,900,70,19.176448814554064,51,3,31,,0,0,,,,,,
17,R. Dom Pedro V 108 A,ATM / ATM,A15,-9.1472059,38.7160908,Misericórdia,14,762.162777849,700,68,19.745389540189496,32,2,13,,0,0,,,,,,
18,Lisboa - Cidade 47,ATM Caixa Geral Depósitos,CX1,-9.1615814,38.7552358,Avenidas Novas,5,372.998040256,4900,65,20.481551208713686,13,1,-20,,0,0,,,,,,
19,benfica metro station,Multibanco,M9,-9.2000601,38.7444054,Benfica,7,1451.29865906,1600,68,19.775138313207187,32,2,10,,0,0,,,,,,
20,Av. Infante Santo 2,Multibanco,M10,-9.167838,38.7037654,Estrela,11,756.638254279,1700,67,19.906228944362795,28,2,6,,0,0,,,,,,
21,Av. Brasília BP,ATM do Mar,A16,-9.2116724,38.6938156,Belém,6,12.0,4700,65,20.509380135669737,12,1,-20,,0,0,,,,,,
22,Dona Estefånia,ATM - Multibanco,MB1,-9.1395096,38.7277116,Arroios,4,2939.66162472,1700,69,19.544523977920658,40,2,17,,0,0,,,,,,
23,R. Coelho da Rocha 122B,Multibanco,M11,-9.1617492,38.7166397,Campo de Ourique,8,762.162777849,650,68,19.737393337874103,32,2,14,,0,0,,,,,,
24,Rua da Junqueira Hospital Egas Moniz 126,Banco Montepio | ATM,BA25,-9.187731,38.6998797,Alcântara,1,1087.27190922,1400,68,19.803469066810294,31,2,10,,0,0,,,,,,
25,Av. de Roma 39C,Multibanco,M12,-9.1405569,38.7462671,Alvalade,2,1451.29865906,2200,67,19.871092740991923,30,2,6,,0,0,,,,,,
26,Campo Pequeno 81,Multibanco,M13,-9.1460645,38.7412974,Areeiro,3,1451.29865906,2200,67,19.871092740991923,30,2,6,,0,0,,,,,,
27,Travessa da Água da Flor 37,ATM Express,EX2,-9.1453113,38.7134021,Misericórdia,14,762.162777849,23,69,19.63712096083905,35,2,18,,0,0,,,,,,
28,Av. João XXI 72A,Multibanco - CGD,MCGD3,-9.1418409,38.7419599,Areeiro,3,1451.29865906,2400,67,19.9030775502535,29,2,4,,0,0,,,,,,
29,Restaurante Parque Verde R. Gen. Firmino Miguel,Banco Montepio | ATM,BA26,-9.1634838,38.745954,Areeiro,3,1451.29865906,1700,68,19.791130717837973,32,2,9,,0,0,,,,,,
30,R. Saraiva de Carvalho 386 388,ATM,A2,-9.1695798,38.7142756,Campo de Ourique,8,762.162777849,350,68,19.689416123981733,33,2,16,,0,0,,,,,,
31,R. Palmira 3,ATM Express,EX3,-9.1343342,38.722656,Arroios,4,2939.66162472,850,69,19.40858853855895,43,3,23,,0,0,,,,,,
32,R. da Palma 8,ATM Euronet,ET3,-9.1365155,38.7167896,Santa Maria Maior,18,1254.89966603,1200,68,19.743710028022495,33,2,12,,0,0,,,,,,
33,R. da Escola Politécnica 113,Multibanco - ATM,M23,-9.1513077,38.7175676,Santo António,19,1254.89966603,950,68,19.70372901644552,34,2,14,,0,0,,,,,,
34,R. Tomás da Anunciação 64 B,Multibanco - Caixa geral de Depósitos,CX20,-9.1655746,38.7187233,Campo de Ourique,8,1254.89966603,600,68,19.64775560023776,35,2,16,,0,0,,,,,,
35,R. 1º de Dezembro 133,Multibanco,M14,-9.1406773,38.7148627,Santa Maria Maior,18,762.162777849,2700,67,20.065237632805285,24,2,-1,,0,0,,,,,,
36,R. do Telhal 89B,ATM Express,EX4,-9.1420885,38.7201296,Santo António,19,1254.89966603,650,68,19.655751802553155,35,2,16,,0,0,,,,,,
37,Estação comboio Calçada da Estação,Estação de comboio de Campolide,EA1,-9.1681465,38.7322197,Santa Maria Maior,18,2939.66162472,1000,69,19.43257714550513,43,3,22,,0,0,,,,,,
38,R. Sam Levy 18,Multibanco,M15,-9.2144792,38.7148019,São Domingos de Benfica,21,762.162777849,1500,68,19.873328777235812,29,2,7,,0,0,,,,,,
39,Calçada da Graça 16 16A,ATM Express,EX5,-9.1310965,38.7153757,São Vicente,20,762.162777849,1400,68,19.85733637260502,29,2,8,,0,0,,,,,,
40,Tv. da Boa Hora à Ajuda 17 A,CGD - Multibanco,CD1,-9.1957607,38.7035219,Ajuda,22,756.638254279,650,68,19.738308695739505,32,2,14,,0,0,,,,,,
41,Av. Combatentes da Grande Guerra 48A,Multibanco - Caixa Geral de Depositos de Algés,CX21,-9.2296346,38.7002549,Ajuda,22,1087.27190922,3300,66,20.107324754795293,23,2,-4,,0,0,,,,,,
42,R. Conde Sabugosa 25 A,ATM,A3,-9.1404133,38.7469153,Areeiro,3,679.19634395,1400,68,19.87108307435618,29,2,8,,0,0,,,,,,
43,Praça do Município 7,ATM Multibanco,MB2,-9.1396424,38.7078771,Santa Maria Maior,18,756.583911996,1000,68,19.79429111591576,31,2,11,,0,0,,,,,,
44,Restaurante Ti Lurdes Av. Óscar Monteiro Torres 31 B,Banco Montepio | ATM,BA27,-9.141876,38.743196,Areeiro,3,1451.29865906,1800,68,19.807123122468766,31,2,9,,0,0,,,,,,
45,R. Manuel Bento de Sousa 130,Multibanco FCM,MFCMS5,-9.1398381,38.7200765,Belém,6,1254.89966603,750,68,19.67174420718394,35,2,15,,0,0,,,,,,
46,Av. da Liberdade 245B,ATM Multibanco,MB3,-9.149203,38.7235209,Santo António,19,2939.66162472,800,69,19.40059233624355,44,3,24,,0,0,,,,,,
47,R. Dr. Eduardo Neves 9 A,ATM (Entrecampos train station),A14,-9.1484425,38.7440806,Arroios,4,1451.29865906,1500,68,19.759145908576397,33,2,11,,0,0,,,,,,
48,R. Tomás Ribeiro 61-47,ATM(Euronet),ET4,-9.1470112,38.7307647,Avenidas Novas,5,2939.66162472,2100,68,19.608493596443815,38,2,14,,0,0,,,,,,
49,R. de São Julião 38,Multibanco,M16,-9.13539,38.7097363,Santa Maria Maior,18,756.583911996,350,68,19.690340485815632,33,2,16,,0,0,,,,,,
50,R. de Buenos Aires 12B,Multibanco- Novo Banco,MNB5,-9.1616018,38.7108146,Estrela,11,756.583911996,900,68,19.77829871128497,31,2,12,,0,0,,,,,,
51,Av. Visc. de Valmor 68,Multibanco,M17,-9.1503769,38.7377103,Avenidas Novas,5,1451.29865906,1800,68,19.807123122468766,31,2,9,,0,0,,,,,,
52,Av. João XXI 70C,ATM  Caixa Geral de Depósitos,CX2,-9.1417575,38.742301,Areeiro,3,1451.29865906,1900,68,19.823115527099553,31,2,8,,0,0,,,,,,
53,CC de Sant'Ana 180,ATM Multibanco,MB4,-9.1389609,38.7176485,Arroios,4,1254.89966603,1800,68,19.83966445580723,30,2,8,,0,0,,,,,,
54,Estacionamento do Mercado do Chão do Loureiro Largo Chão do Loureiro,Multibanco Chão do Loureiro,MCL5,-9.1356808,38.7125907,Santa Maria Maior,18,762.162777849,700,68,19.745389540189496,32,2,13,,0,0,,,,,,
55,Av. Fontes Pereira de Melo 42E,ATM,A4,-9.1470187,38.7307676,Avenidas Novas,5,2939.66162472,2100,68,19.608493596443815,38,2,14,,0,0,,,,,,
56,R. da Atalaia 204,ATM Express,EX6,-9.1453123,38.7144397,Misericórdia,14,762.162777849,110,69,19.65103435286784,34,2,18,,0,0,,,,,,
57,R. Barata Salgueiro 6A,BBVA,BV2,-9.146481,38.7225255,Santo António,19,2939.66162472,1000,69,19.43257714550513,43,3,22,,0,0,,,,,,
58,Praça Duque da Terceira CP,Banco Montepio | ATM,BA28,-9.1443425,38.7058828,Santa Maria Maior,18,756.583911996,750,68,19.75431010433879,32,2,13,,0,0,,,,,,
59,R. António Pereira Carrilho,ATM Multibanco,MB5,-9.1354628,38.7337905,Areeiro,3,1451.29865906,1000,68,19.67918388542245,35,2,15,,0,0,,,,,,
60,R. do Poço dos Negros 94,ATM Express,EX7,-9.1512153,38.7101002,Misericórdia,14,756.583911996,1500,68,19.874253139069708,29,2,7,,0,0,,,,,,
61,Av. Brasília 7,Ao Pe Da Ponte,ADP1,-9.1742789,38.6991913,Estrela,11,2200.0,900,69,19.539139215906754,39,2,19,,0,0,,,,,,
62,R. Áurea 75,ATM Multibanco,MB6,-9.1382223,38.7096182,Santa Maria Maior,18,756.583911996,900,68,19.77829871128497,31,2,12,,0,0,,,,,,
63,Campo de Santa Clara,Multibanco,M18,-9.1253111,38.71554,São Vicente,20,762.162777849,2300,67,20.001268014282125,26,2,1,,0,0,,,,,,
64,R. de São Vicente 17,ATM Express,EX8,-9.1295536,38.7144323,São Vicente,20,762.162777849,3200,66,20.14519965595923,22,2,-5,,0,0,,,,,,
65,CCP - Casa Credito Popular R. do Arco do Marquês de Alegrete,Banco Montepio | ATM,BA29,-9.136112,38.714893000000004,Santa Maria Maior,18,762.162777849,1000,68,19.793366754081863,31,2,11,,0,0,,,,,,
66,Avenida 5 de Outubro 295 D,Multibanco | Hotel VIP Executive Entrecampos,MHD6,-9.1504672,38.7472151,Areeiro,3,595.160921456,1100,68,19.837029682849185,30,2,9,,0,0,,,,,,
67,Calçada de Santo André 10,ATM Express,EX9,-9.1312377,38.7147154,Santa Maria Maior,18,762.162777849,1200,68,19.825351563343443,30,2,10,,0,0,,,,,,
68,Alameda António Sérgio 12 D,Multibanco,M19,-9.2321777,38.7140638,Areeiro,3,762.162777849,5200,65,20.465047748575017,14,1,-20,,0,0,,,,,,
69,R. Angelina Vidal 33,ATM Express,EX10,-9.1309031,38.7219868,Penha de França,17,1254.89966603,1300,68,19.759702432653285,32,2,11,,0,0,,,,,,
70,Av. Alm. Reis 108 114,ATM Multibanco,MB7,-9.1343671,38.7312642,Arroios,4,2939.66162472,950,69,19.42458094318974,43,3,23,,0,0,,,,,,
71,Av. da Liberdade 222,ATM,A5,-9.1480257,38.7237176,Santo António,19,2939.66162472,1300,69,19.4805543593975,42,2,20,,0,0,,,,,,
72,R. dos Remédios 55,ATM Express,EX11,-9.1270797,38.7121404,São Vicente,20,762.162777849,900,68,19.777374349451073,31,2,12,,0,0,,,,,,
73,Av. da Liberdade 131,The Royal Bank Of Scotland N.V. - Sucursal Em Portugal,RBS1,-9.1451117,38.7189321,Santo António,19,1254.89966603,500,69,19.63176319560697,36,2,17,,0,0,,,,,,
74,Lgo do Rato 7 B,ATM,A6,-9.1545579,38.7199042,Santo António,19,1254.89966603,1100,68,19.727717623391705,33,2,13,,0,0,,,,,,
75,R. Damasceno Monteiro 74B,ATM Express,EX12,-9.1329311,38.7198972,Arroios,4,1254.89966603,1200,68,19.743710028022495,33,2,12,,0,0,,,,,,
76,R. dos Cavaleiros 68,ATM Express,EX13,-9.1342568,38.7163841,Santa Maria Maior,18,762.162777849,1100,68,19.809359158712653,30,2,10,,0,0,,,,,,
77,Av. Alm. Reis 71,Banco de Portugal  Lisboa,BA22,-9.1351352,38.7267967,Arroios,4,2939.66162472,1500,69,19.512539168659078,41,2,19,,0,0,,,,,,
78,Av. Helen Keller 10,ATM,A7,-9.204486,38.7106376,Lumiar,12,756.583911996,1400,68,19.85826073443892,29,2,8,,0,0,,,,,,
79,R. do Comércio 283,ATM,A8,-9.139426,38.7125846,Santa Maria Maior,18,762.162777849,1900,67,19.93729839575897,27,2,4,,0,0,,,,,,
80,R. Alexandre Herculano 86,Multibanco,M20,-9.1541006,38.720423,Santo António,19,1254.89966603,160,69,19.577389019862284,37,2,20,,0,0,,,,,,
81,R. da Atalaia 25,ATM Express,EX14,-9.1449257,38.7116729,Misericórdia,14,762.162777849,500,68,19.713404730927916,33,2,15,,0,0,,,,,,
82,Papelaria Loja do Rato Av. Cel. Eduardo Galhardo 3G,Banco Montepio | ATM,BA30,-9.1257977,38.7276729,Marvila,13,2939.66162472,700,69,19.38459993161276,44,3,24,,0,0,,,,,,
83,R. Horta Seca 11 1,ATM (Euronet),ET1,-9.1440852,38.7102475,Misericórdia,14,756.583911996,600,68,19.730321497392605,32,2,14,,0,0,,,,,,
84,Av. Casal Ribeiro 46C,novobanco Saldanha,NB16,-9.1435252,38.7331116,Areeiro,3,1451.29865906,1800,68,19.807123122468766,31,2,9,,0,0,,,,,,
85,R. Morais Soares 45a,ATM Multibanco,MB8,-9.1283092,38.7319119,Arroios,4,2939.66162472,700,69,19.38459993161276,44,3,24,,0,0,,,,,,
86,R. dos Fanqueiros 170,ATM,A9,-9.1361625,38.7113152,Santa Maria Maior,18,762.162777849,350,68,19.689416123981733,33,2,16,,0,0,,,,,,
87,CC do Marquês de Abrantes 26,ATM Multibanco,MB9,-9.1527943,38.7084708,Estrela,11,756.583911996,750,68,19.75431010433879,32,2,13,,0,0,,,,,,
88,Praça Luís de Camões 22 4º andar,Multibanco CTT,MCTT8,-9.1439315,38.7104968,Misericórdia,14,756.583911996,600,68,19.730321497392605,32,2,14,,0,0,,,,,,
89,R. Luís Pinto Moitinho 5B,ATM Express,EX15,-9.13441,38.7240999,Belém,6,2939.66162472,1400,69,19.496546764028288,41,2,19,,0,0,,,,,,
90,R. de Santiago 4,ATM,A10,-9.1311137,38.7115709,Santa Maria Maior,18,762.162777849,2800,67,20.08123003743607,24,2,-2,,0,0,,,,,,
91,Calçada Garcia 10,ATM Express,EX16,-9.1382821,38.7151905,Santa Maria Maior,18,762.162777849,1800,67,19.92130599112818,28,2,5,,0,0,,,,,,
92,R. do Poço dos Negros 48,Multibanco ( ATM ),MATMN2,-9.1505563,38.7104774,Misericórdia,14,756.583911996,1400,68,19.85826073443892,29,2,8,,0,0,,,,,,
93,R. da Escola Politécnica 73,ATM(Euronet),ET5,-9.1544288,38.7199211,Santo António,19,1254.89966603,1500,68,19.791687241914865,32,2,10,,0,0,,,,,,
94,R. Pascoal de Melo 138A,pascoal de melo,PDM1,-9.1401779,38.7317795,Arroios,4,2939.66162472,1500,69,19.512539168659078,41,2,19,,0,0,,,,,,
95,Pç. General Domingos de Oliveira,Novo Banco,NB1,-9.1737228,38.7060795,Alvalade,2,756.583911996,1100,68,19.81028352054655,30,2,10,,0,0,,,,,,
96,R. Ferreira Borges 6266,Millenium,MBCP1,-9.1638344,38.7168898,Belém,6,1254.89966603,500,69,19.63176319560697,36,2,17,,0,0,,,,,,
97,Tribunal do Comércio de Lisboa R. Nova do Almada 4,Caixa Geral De Depositos,CX4,-9.1384454,38.7092561,Santa Maria Maior,18,756.583911996,850,68,19.77030250896958,31,2,12,,0,0,,,,,,
98,Av. Alm. Reis 12,ATM Express,EX17,-9.1353149,38.7216021,Arroios,4,1254.89966603,1000,68,19.711725218760918,34,2,14,,0,0,,,,,,
99,Atrium Saldanha Praça Duque de Saldanha 1,Banco CTT Loja Sede - Lisboa,BA20,-9.1447072,38.7328549,Avenidas Novas,5,2939.66162472,2000,69,19.592501191813028,39,2,15,,0,0,,,,,,
100,Av. Álvares Cabral 49 A,Multibanco - ATM,M24,-9.1570173,38.7178522,Campo de Ourique,8,1254.89966603,350,69,19.607774588660785,36,2,18,,0,0,,,,,,
101,Rua de S. Paulo 12A,ATM Multibanco,MB10,-9.1428918,38.7073632,Misericórdia,14,756.583911996,850,68,19.77030250896958,31,2,12,,0,0,,,,,,
102,Associação Socorros Mútuos Largo São Cristóvão 1,Banco Montepio | ATM,BA31,-9.1355771,38.7126222,Santa Maria Maior,18,762.162777849,650,68,19.737393337874103,32,2,14,,0,0,,,,,,
103,R. Palmira 66,ATM Express,EX18,-9.133832,38.7254511,Arroios,4,2939.66162472,1100,69,19.44856955013592,42,3,22,,0,0,,,,,,
104,R. Teófilo Braga 6,Multibanco,M21,-9.2176267,38.7429921,Ajuda,22,1451.29865906,3100,67,20.015024382669026,26,2,-1,,0,0,,,,,,
105,Av. das Forças Armadas 125,Seminv - Investimentos  Sgps  S.A.,SISSA1,-9.159572,38.7457984,Areeiro,3,1451.29865906,2500,67,19.91906995488429,29,2,4,,0,0,,,,,,
106,R. Tomás da Anunciação 64 B,Caixa Geral de Depósitos,CX5,-9.1655605,38.7187016,Campo de Ourique,8,1254.89966603,600,68,19.64775560023776,35,2,16,,0,0,,,,,,
107,Campo das Cebolas 26,ATM,A11,-9.1315349,38.708949,Santa Maria Maior,18,756.583911996,2500,67,20.034177185377605,25,2,0,,0,0,,,,,,
108,Cais do sodré Estação do,ATM,A12,-9.1442604,38.706007,Misericórdia,14,756.583911996,750,68,19.75431010433879,32,2,13,,0,0,,,,,,
109,Loural Ilha De Santa Maria,Montealma - Investimentos Turísticos S.A,MITSA1,-9.1393366,38.7222524,Santa Maria Maior,18,2939.66162472,1000,69,19.43257714550513,43,3,22,,0,0,,,,,,
110,R. Áurea 146,ATM. Multibanco,MB12,-9.1384916,38.7106394,Santa Maria Maior,18,756.583911996,550,68,19.72232529507721,33,2,14,,0,0,,,,,,
111,Praça Martim Moniz 564,ATM,A13,-9.1366371,38.7149412,Santa Maria Maior,18,762.162777849,1000,68,19.793366754081863,31,2,11,,0,0,,,,,,
112,Av. das Descobertas,Multibanco,M22,-9.214549,38.7111597,Belém,6,756.583911996,1600,67,19.890245543700498,28,2,7,,0,0,,,,,,
113,Praça da Figueira 4,ATM (Euronet),ET2,-9.138436,38.7140634,Santa Maria Maior,18,762.162777849,1100,68,19.809359158712653,30,2,10,,0,0,,,,,,
114,Av. Alm. Reis 247 B C,BBVA,BV3,-9.133583,38.7415489,Arroios,4,1451.29865906,1900,68,19.823115527099553,31,2,8,,0,0,,,,,,
115,Avenida da República Campo Pequeno C.C,Multibanco CGD,MCGD2,-9.1456049,38.742979,Areeiro,3,1451.29865906,1400,68,19.743153503945607,33,2,12,,0,0,,,,,,
116,Av. da Torre de Belém 8,ATM Pingo Doce Restelo,A17,-9.2152975,38.6954032,Belém,6,180.0,2800,66,20.177688541214344,20,2,-5,,0,0,,,,,,
117,Av. Fontes Pereira de Melo 35 frente,ATM Multibanco,MB11,-9.1469132,38.731139,Avenidas Novas,5,2939.66162472,2100,68,19.608493596443815,38,2,14,,0,0,,,,,,
118,R. Infantaria 16 60,Santader Totta,ST1,-9.1652988,38.7184533,Campo de Ourique,8,1254.89966603,600,68,19.64775560023776,35,2,16,,0,0,,,,,,
119,Rua Do Laracha10 Escaravilheira Escravilheira Lisboa,J. A. Bernardes  Sociedade Unipessoal Limitada,JABSUL1,-9.1393366,38.7222524,Misericórdia,14,2939.66162472,1000,69,19.43257714550513,43,3,22,,0,0,,,,,,
120,Av. Alm. Reis 15 B,Euronet ATM,ET7,-9.1356155,38.7215408,Misericórdia,14,1254.89966603,400,69,19.61577079097618,36,2,18,,0,0,,,,,,
121,Praça Duque de Saldanha 21 C,Caixa Geral de Depósitos,CX6,-9.1444416,38.7343387,Avenidas Novas,5,1451.29865906,1800,68,19.807123122468766,31,2,9,,0,0,,,,,,
122,Rua da Graça 104,Multibanco (inside Pingo Doce),MPD1,-9.1298258,38.7195471,Arroios,4,1254.89966603,1700,68,19.823672051176445,31,2,8,,0,0,,,,,,
123,Cais do Sodré 22,Euronet ATM,ET8,-9.1472599,38.7066942,Misericórdia,14,756.583911996,1400,68,19.85826073443892,29,2,8,,0,0,,,,,,
124,Alameda das Linhas de Torres,Banco BPI,BA4,-9.1614562,38.7728103,Lumiar,12,4388.97083492,1700,70,19.304388051600377,48,3,25,,0,0,,,,,,
125,Av. Dom Dinis 68 2675-328,Millennium bcp,MBCP2,-9.180754,38.7872119,Olivais,5,4388.97083492,350,71,19.08849058908472,53,3,35,,0,0,,,,,,
126,Praça Duque de Saldanha 31 - B,Balcão Santander Saldanha  Lisboa,BC2,-9.145642,38.7339979,Areeiro,3,765.838054525,2500,67,20.03264386724724,25,2,0,,0,0,,,,,,
127,R. Barata Salgueiro 30 5,Citibank International Plc-branch in Portugal,CT1,-9.1487909,38.7213309,Santo António,19,1254.89966603,1300,68,19.759702432653285,32,2,11,,0,0,,,,,,
128,R. Castilho 26 Piso 8,Banco Best - Centro de Investimento de Lisboa,BA3,-9.1502042,38.7216269,Santo António,19,1254.89966603,1000,68,19.711725218760918,34,2,14,,0,0,,,,,,
129,Praça Duque de Saldanha 1,ActivoBank,AB1,-9.1450447,38.7330105,Areeiro,3,1451.29865906,2700,67,19.95105476414587,28,2,2,,0,0,,,,,,
130,6th floor Av. da Liberdade 200,ING Wholesale Banking Portugal,INGWL3,-9.1460293,38.7214563,Santo António,19,1254.89966603,1200,68,19.743710028022495,33,2,12,,0,0,,,,,,
131,Avenida da Liberdade n.º 259,Banco ATLANTICO Europa,BA1,-9.1497687,38.724128,Santo António,19,2939.66162472,850,69,19.40858853855895,43,3,23,,0,0,,,,,,
132,Av. Fontes Pereira de Melo 4,Banco BPI | Av. Fontes Pereira de Melo,BA10,-9.1490766,38.7264195,Areeiro,3,1254.89966603,2000,67,19.87164926506881,30,2,6,,0,0,,,,,,
133,R. Castilho 39,Caixa Geral de Depósitos,CX7,-9.1520399,38.7231499,Santo António,19,1254.89966603,600,68,19.64775560023776,35,2,16,,0,0,,,,,,
134,R. Castilho 24,Gabinete de Estratégia e Planeamento,GEP1,-9.1498842,38.7211829,Santo António,19,1254.89966603,900,68,19.695732814130128,34,2,14,,0,0,,,,,,
135,Av. da Liberdade 249 A,Millennium bcp,MBCP3,-9.1495766,38.7239818,Santo António,19,2939.66162472,850,69,19.40858853855895,43,3,23,,0,0,,,,,,
136,Av. do Colégio Militar 37 F 6° andar,WiZink Bank  S.A.U. - Portugal,WZBSAUP1,-9.1877032,38.7537651,Carnide,10,550.331568192,1400,67,19.89243466867361,28,2,7,,0,0,,,,,,
137,Av. Alm. Reis 71,Banco de Portugal  Lisboa,BA23,-9.1351352,38.7267967,Areeiro,3,2939.66162472,1500,69,19.512539168659078,41,2,19,,0,0,,,,,,
138,Av. António Augusto de Aguiar 132 R/C e 1.º Piso,EuroBic | ABANCA,EB1,-9.1533556,38.7342849,Avenidas Novas,5,2939.66162472,1000,69,19.43257714550513,43,3,22,,0,0,,,,,,
139,Centro Comercial Colombo,ActivoBank - Colombo (Lisboa),AB3,-9.1901218,38.7548198,Carnide,10,1786.0640517,1100,68,19.639709039106503,36,2,16,,0,0,,,,,,
140,Av. António Augusto de Aguiar 122 A/B C,Banco BPI | São Sebastião,BA17,-9.1526303,38.7331289,Avenidas Novas,5,2939.66162472,1100,69,19.44856955013592,42,3,22,,0,0,,,,,,
141,Avenida 5 de Outubro 202,Millennium bcp,MBCP4,-9.149027,38.7431722,Areeiro,3,1317.22108146,1500,68,19.78136121161122,32,2,10,,0,0,,,,,,
142,Praça dos Restauradores 57,Millennium bcp,MBCP5,-9.1413674,38.716114,Santa Maria Maior,18,762.162777849,210,68,19.667026757498625,34,2,17,,0,0,,,,,,
143,Largo Dona Estefânia 17,Millennium bcp,MBCP6,-9.1405533,38.7315795,Areeiro,3,2407.81719012,1500,69,19.600660430196726,38,2,16,,0,0,,,,,,
144,Av. da República 8 A,Millennium bcp,MBCP7,-9.1448022,38.7349425,Avenidas Novas,5,2939.66162472,2400,68,19.656470810336184,37,2,12,,0,0,,,,,,
145,R. Arco do Cego 50,Caixa Geral de Depósitos,CX8,-9.1426729,38.7409069,Areeiro,3,1451.29865906,2100,68,19.855100336361133,30,2,6,,0,0,,,,,,
146,Praça Duque de Saldanha 21 C,Caixa Geral de Depósitos,CX9,-9.1444416,38.7343387,Areeiro,3,2939.66162472,1800,69,19.560516382551448,40,2,16,,0,0,,,,,,
147,Av. Fontes Pereira de Melo 35 Lj 1,Millennium bcp,MBCP8,-9.1467842,38.7314696,Areeiro,3,2051.13694545,2200,68,19.77170558362696,33,2,9,,0,0,,,,,,
148,Av. João Crisóstomo 10,Bank Ctt Agency Casal Ribeiro,CR1,-9.1439165,38.7364134,Areeiro,3,1748.90318099,1700,68,19.741820648566488,33,2,11,,0,0,,,,,,
149,Av. República 41,Caixa Geral de Depósitos,CX10,-9.1461567,38.7377777,Areeiro,3,2939.66162472,1900,69,19.576508787182235,39,2,16,,0,0,,,,,,
150,Av. da Liberdade n.º 180-A 8.º andar,Credit Suisse (Luxembourg) S.A. - Sucursal em Portugal,CD2,-9.1448875,38.7202314,Santo António,19,1200.0,900,68,19.70482913537338,34,2,14,,0,0,,,,,,
151,R. Duque de Palmela 37,Bank of China,CH1,-9.1507296,38.723887,Santo António,19,650.0,1100,68,19.827943400341606,30,2,10,,0,0,,,,,,
152,Alameda dos Oceanos 4.4.01 M,Caixa Geral de Depósitos,CX11,-9.0953344,38.7762676,Parque das Nações,16,4388.97083492,1200,70,19.22442602844643,50,3,28,,0,0,,,,,,
153,Av. Dom João II 51 E,Millennium bcp,MBCP9,-9.0976789,38.7734997,Parque das Nações,16,4388.97083492,1000,70,19.19244121918485,51,3,30,,0,0,,,,,,
154,Av. Eng. Duarte Pacheco CC Amoreiras Torre 1 - Piso 7,Bank BNI Europa,BN1,-9.1613387,38.723868,Campolide,9,2939.66162472,1300,69,19.4805543593975,42,2,20,,0,0,,,,,,
